CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"3,719.10","4,157.50",780,"20,100.00","1,28,635",0.40,0.45,"2,990",-0.20,0.40,49.92,"49,405","1,579","15,023",
,-,-,-,-,-,-,780,"3,658.75","3,983.45","1,560","20,150.00","6,695",0.45,0.50,"10,140",-0.20,0.45,49.77,"7,626",295,"1,252",
,-,-,-,-,-,-,780,"3,593.75","3,930.30",780,"20,200.00","2,600",0.45,0.50,"5,850",-0.25,0.45,49.13,"6,476",198,954,
,-,-,-,-,-,-,"1,560","3,768.70","4,006.25",780,"20,250.00","11,115",0.40,0.50,"3,380",-0.30,0.50,48.92,"3,828",423,797,
,-,-,-,-,-,-,"1,560","3,714.10","3,992.40",780,"20,300.00","3,250",0.50,0.55,975,-0.25,0.50,48.27,"5,377",549,"1,025",
,-,-,-,-,-,-,"1,560","3,464.70","3,924.60","1,560","20,350.00","1,040",0.60,0.65,"1,560",-0.20,0.60,48.40,"13,845",652,896,
,-,-,-,-,-,-,780,"3,442.80","3,726.70",780,"20,400.00","4,550",0.50,0.65,390,-0.30,0.50,46.98,"3,438",118,338,
,-,-,-,-,-,-,"1,690","3,348.35","3,806.85","1,560","20,450.00","6,565",0.50,0.60,"1,170",-0.25,0.60,47.08,"3,684",273,474,
,-,-,-,-,-,-,780,"3,515.20","3,619.30",780,"20,500.00","20,475",0.55,0.60,"11,895",-0.30,0.55,46.07,"37,143",-343,"11,950",
,1,-,-,77.36,"3,533.10",-,"1,560","3,414.55","3,569.15",780,"20,550.00","2,210",0.55,0.60,455,-0.40,0.60,45.78,"2,984",219,383,
,1,-,-,76.54,"3,483.65",-,"1,690","3,143.10","3,527.20",780,"20,600.00","11,570",0.60,0.75,"3,250",-0.25,0.75,46.06,"4,423",138,300,
,4,-,-,-,"3,332.65",-,780,"3,121.10","3,501.15",780,"20,650.00","4,745",0.55,0.70,"2,080",-0.30,0.70,45.10,"3,311",143,241,
,-,-,-,-,-,-,780,"3,116.80","3,433.25","1,560","20,700.00",260,0.55,0.70,390,-0.30,0.75,44.73,"4,525",170,408,
,-,-,-,-,-,-,780,"3,091.15","3,454.75","1,560","20,750.00","6,760",0.55,0.85,"1,040",-0.35,0.70,43.79,"2,113",56,158,
,-,-,-,-,-,-,"1,690","3,023.80","3,309.75",780,"20,800.00","3,965",0.60,0.85,130,-0.50,0.60,42.52,"21,102",459,863,
,1,-,-,72.34,"3,236.25",-,780,"3,166.80","3,273.75",780,"20,850.00","3,770",0.65,0.90,910,-0.60,0.65,42.18,"14,013",684,785,
,-,-,-,-,-,-,780,"3,114.55","3,324.40",780,"20,900.00",260,0.65,0.90,130,-0.45,0.70,41.82,"15,423",672,"1,185",
,-,-,-,-,-,-,"1,560","3,073.50","3,162.45",780,"20,950.00","1,885",0.65,0.90,650,-0.35,0.80,41.69,"2,982",21,193,
,8,-,-,-,"2,964.05",-,"1,690","2,789.20","3,121.85","1,560","21,000.00",455,0.85,0.95,"2,015",-0.45,0.85,41.27,"1,09,380","-3,055","38,543",
,1,-,-,-,"3,056.95",-,780,"2,984.90","3,078.15",780,"21,050.00",130,0.65,0.95,910,-0.35,0.90,40.83,"3,224",162,264,
,1,-,-,-,"2,876.70",-,"1,560","2,920.25","3,023.20","1,560","21,100.00","6,500",0.70,0.95,"2,275",-0.65,0.75,39.47,"26,862","3,182","4,020",
